id,x_soma,y_soma,z_soma,x_cm,y_cm,z_cm,degree,presynaptic_degree,postsynaptic_degree,weighted_presynaptic_degree,weighted_postsynaptic_degree,pca_1_x,pca_1_y,pca_1_z,pca_1_evr,linear_span_pca_1,n_mesh_vertices
864691136090948788,952768.0,934080.0,859600.0,949974.1931959968,894820.3771236052,843537.5439593852,13,3,10,3,10,-0.0808865282379956,-0.9794442057391914,-0.1847874925245994,0.8103906461538198,413614.0333403994,327361
864691136090989748,691008.0,655680.0,886120.0,695215.712534941,689410.4762738608,868671.7664732889,66,48,20,99,23,-0.3837880464500141,-0.7994116992732228,-0.462220370026225,0.5504218708647721,343747.10641107813,223024
864691136091087028,630464.0,963200.0,777080.0,603999.0641910153,835783.4198594026,758405.5563506057,42,30,14,35,16,-0.2038132803648756,-0.9625832866333304,-0.1785876900603312,0.9205253468103536,697648.2490027517,455882
864691136091176372,1182528.0,753920.0,891840.0,1174470.8320746133,755478.8064426524,904636.3128357896,19,16,4,19,4,-0.0528945721685897,-0.9841911993700124,-0.1690261734694317,0.6494774280713611,510033.054893123,375354
864691136091199668,1046016.0,930816.0,767400.0,1039447.6634898004,853362.5897599753,759298.0235045768,17,5,13,5,16,-0.025608587438518,-0.9932673281753452,-0.1129788255772539,0.8641456313140075,491713.8259332109,457604
864691136091213492,958144.0,952576.0,842240.0,962201.100693063,913446.9345512682,839203.8112165722,31,16,15,20,15,0.4686612650755115,0.6079596767452669,0.6408912934886943,0.6805316327193041,425134.6113666559,444046
864691136091228852,678976.0,879488.0,835440.0,645756.400287941,885750.9908890807,854312.4204595126,105,96,10,111,11,0.2246447522394013,-0.95799419907375,-0.1782746471945538,0.4624259939753752,354361.0899896081,652830
864691136094571907,559936.0,974912.0,853200.0,577614.600211529,980013.8737390204,863087.1363133846,29,23,7,24,8,0.321366589426657,0.539121139326934,0.7785062057113658,0.7414665728413263,363562.7906891189,357459
864691136094589055,365632.0,567552.0,780360.0,394837.4559202976,593067.4004251302,761378.2925929094,2,0,2,0,2,0.6643948757571511,0.5880401850845729,-0.4612897026742965,0.9942328145331344,133739.8290341338,39266
864691136095504515,453632.0,1008000.0,743000.0,458093.6106839834,999003.663725496,730101.8001280327,0,0,0,0,0,0.9659910302808048,0.2524652002107579,-0.0558806952316418,0.7122812963387306,113947.97251858911,51142
864691136099753077,393920.0,1096704.0,828840.0,385059.4856938419,1094566.8036125132,830145.408387333,0,0,0,0,0,-0.9351207923478392,-0.3407134081189236,-0.0972804052558255,0.7649546747443134,59750.81975103542,56824
864691136099761013,488128.0,711488.0,745920.0,483299.93096755526,686723.542299492,752441.5867171925,34,25,10,27,10,-0.0613676248664664,-0.9850614447147996,-0.1608973733615328,0.5784660821040938,404674.5872826015,515041
